,Date,Rank,Singles Points,Doubles Points,Tournaments,Tournaments used,Total Points
0,2023-05-08,1582,1065,652,8,7,1228
1,2023-05-01,1578,1065,652,8,7,1228
2,2023-04-24,1296,1344,652,9,7,1507
3,2023-04-17,1311,1344,652,9,7,1507
4,2023-04-10,1347,1344,400,8,6,1444
5,2023-04-03,1323,1344,400,8,6,1444
6,2023-03-27,1594,1105,400,7,6,1205
7,2023-03-20,1680,1105,400,7,6,1205
8,2023-03-13,1675,1105,400,7,6,1205
9,2023-03-06,1899,954,400,6,6,1054
10,2023-02-27,1898,954,400,6,6,1054
11,2023-02-20,1896,954,400,6,6,1054
12,2023-02-13,1890,954,400,6,6,1054
13,2023-02-06,1885,954,400,6,6,1054
14,2023-01-30,1888,954,400,6,6,1054
15,2023-01-23,1884,954,400,6,6,1054
16,2023-01-16,1878,954,400,6,6,1054
17,2023-01-09,1873,954,400,6,6,1054
18,2023-01-02,1866,954,400,6,6,1054
19,2022-12-26,1863,954,400,6,6,1054
20,2022-12-19,1855,954,400,6,6,1054
21,2022-12-12,1865,954,400,6,6,1054
22,2022-12-05,1882,954,400,6,6,1054
23,2022-11-28,1857,954,400,6,6,1054
24,2022-11-21,1845,954,400,6,6,1054
25,2022-11-14,1842,954,400,6,6,1054
26,2022-11-07,1837,954,400,6,6,1054
27,2022-10-31,1841,954,400,6,6,1054
28,2022-10-24,1841,954,400,6,6,1054
29,2022-10-17,1850,954,400,6,6,1054
30,2022-10-10,1840,954,400,6,6,1054
31,2022-10-03,1651,1065,400,7,6,1165
32,2022-09-26,2021,846,400,6,6,946
33,2022-09-19,1998,846,400,6,6,946
34,2022-09-12,1628,1065,400,6,6,1165
35,2022-09-05,1636,1065,400,6,6,1165
36,2022-08-29,1617,1065,400,6,6,1165
37,2022-08-22,1482,1152,400,7,6,1252
38,2022-08-15,1490,1152,400,7,6,1252
39,2022-08-08,1492,1152,400,7,6,1252
40,2022-08-01,1296,1200,400,7,6,1300
41,2022-07-25,1330,1200,400,7,6,1300
42,2022-07-18,1381,1200,400,7,6,1300
43,2022-07-11,1398,1200,400,7,6,1300
44,2022-07-04,1383,1200,400,6,6,1300
45,2022-06-27,1396,1200,400,6,6,1300
46,2022-06-20,1649,1000,400,5,5,1100
47,2022-06-13,1671,1000,400,5,5,1100
48,2022-06-06,1667,1000,400,5,5,1100
49,2022-05-30,1627,1000,400,5,5,1100
50,2022-05-23,1649,1000,400,5,5,1100
51,2022-05-16,1642,1001,401,6,6,1101
52,2022-05-09,1633,1001,401,6,6,1101
53,2022-05-02,1622,1001,401,6,6,1101
54,2022-04-25,2118,721,401,5,5,821
55,2022-04-18,2090,721,401,5,5,821
56,2022-04-11,2059,721,401,5,5,821
57,2022-04-04,2029,721,401,5,5,821
58,2022-03-28,2025,721,401,5,5,821
59,2022-03-21,2253,721,401,5,5,821
60,2022-03-14,2259,721,401,5,5,821
61,2022-03-07,2260,721,401,5,5,821
62,2022-02-28,2269,721,401,5,5,821
63,2022-02-21,2280,721,401,5,5,821
64,2022-02-14,2276,721,401,5,5,821
65,2022-02-07,2275,721,401,5,5,821
66,2022-01-31,2277,721,401,5,5,821
67,2022-01-24,2282,721,401,5,5,821
68,2022-01-17,2281,721,401,5,5,821
69,2022-01-10,2279,721,401,5,5,821
70,2022-01-03,2283,721,401,5,5,821
71,2021-12-27,2279,721,401,5,5,821
72,2021-12-20,2299,721,401,5,5,821
73,2021-12-13,2291,721,401,5,5,821
74,2021-12-06,2269,721,401,5,5,821
75,2021-11-29,2264,721,401,5,5,821
76,2021-11-22,2290,721,401,5,5,821
77,2021-11-15,2292,721,401,5,5,821
78,2021-11-08,2299,721,401,5,5,821
79,2021-11-01,2306,721,401,5,5,821
80,2021-10-25,2290,721,401,5,5,821
81,2021-10-18,2300,720,400,4,4,820
82,2021-10-11,2295,720,400,4,4,820
83,2021-10-04,2551,608,400,3,3,708
84,2021-09-27,2754,608,400,3,3,708
85,2021-09-20,2731,608,400,3,3,708
86,2021-09-13,3569,388,400,2,2,488
87,2021-09-06,3567,388,400,2,2,488
88,2021-08-30,3704,388,400,2,2,488
89,2021-08-23,3316,452,400,2,2,552
90,2021-08-16,3337,452,400,2,2,552
91,2021-08-09,4877,312,0,2,2,312
92,2021-08-02,4843,312,0,2,2,312
93,2021-07-26,4803,312,0,2,2,312
94,2021-07-19,4766,312,0,2,2,312
95,2021-07-12,4685,312,0,2,2,312
96,2021-07-05,4378,312,0,2,2,312
97,2021-06-28,4394,312,0,2,2,312
98,2021-06-21,4382,312,0,2,2,312
99,2021-06-14,4375,312,0,2,2,312
100,2021-06-07,4364,312,0,2,2,312
101,2021-05-31,4340,312,0,2,2,312
102,2021-05-24,4341,312,0,2,2,312
103,2021-05-17,4332,312,0,2,2,312
104,2021-05-10,4331,312,0,2,2,312
105,2021-05-03,4314,312,0,2,2,312
106,2021-04-26,4463,314,401,4,4,414
107,2021-04-19,4459,314,401,4,4,414
108,2021-04-12,4417,314,401,4,4,414
109,2021-04-05,4412,314,401,4,4,414
110,2021-03-29,4412,314,401,4,4,414
111,2021-03-22,4411,314,401,4,4,414
112,2021-01-04,4411,314,401,4,4,414
113,2021-01-04,4376,314,401,4,4,414
114,2020-12-28,4376,314,401,4,4,414
115,2020-12-21,4372,314,401,4,4,414
116,2020-12-14,4229,314,401,4,4,414
117,2020-12-07,4227,314,401,4,4,414
118,2020-11-30,4204,314,401,4,4,414
119,2020-11-23,4204,314,401,4,4,414
120,2020-11-16,4205,314,401,4,4,414
121,2020-11-09,4204,314,401,4,4,414
122,2020-11-02,4157,314,401,4,4,414
123,2020-10-26,4153,314,401,4,4,414
124,2020-10-19,4121,314,401,4,4,414
125,2020-10-12,4111,314,401,4,4,414
126,2020-10-05,4098,314,401,4,4,414
